[0.007s] Invoking command in '/home/sriram/dev_ws/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/sriram/dev_ws/build/my_bot -- -j20 -l20
[0.028s] Invoked command in '/home/sriram/dev_ws/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/sriram/dev_ws/build/my_bot -- -j20 -l20
[0.033s] Invoking command in '/home/sriram/dev_ws/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/sriram/dev_ws/build/my_bot
[0.037s] -- Install configuration: ""
[0.037s] -- Execute custom install script
[0.037s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/config/empty.yaml
[0.037s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/config/gazebo_params.yaml
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/config/mapper_params_online_async.yaml
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/config/move_bot_rviz.rviz
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/config/my_controllers.yaml
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/config/view_bot_rviz.rviz
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/description/camera.xacro
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/description/depth_camera.xacro
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/description/face.xacro
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/description/gazebo_control.xacro
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/description/inertial_macros.xacro
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/description/lidar.xacro
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/description/robot.urdf.xacro
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/description/robot_core.xacro
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/description/ros2_control.xacro
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/launch/camera.launch.py
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/launch/launch_sim.launch.py
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/launch/rsp.launch.py
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/worlds/empty.world
[0.038s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/worlds/obstacles.world
[0.039s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/ament_index/resource_index/package_run_dependencies/my_bot
[0.039s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/ament_index/resource_index/parent_prefix_path/my_bot
[0.039s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/environment/ament_prefix_path.sh
[0.039s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/environment/ament_prefix_path.dsv
[0.039s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/environment/path.sh
[0.039s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/environment/path.dsv
[0.039s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/local_setup.bash
[0.039s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/local_setup.sh
[0.039s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/local_setup.zsh
[0.039s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/local_setup.dsv
[0.039s] -- Symlinking: /home/sriram/dev_ws/install/my_bot/share/my_bot/package.dsv
[0.044s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/ament_index/resource_index/packages/my_bot
[0.044s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/cmake/my_botConfig.cmake
[0.044s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/cmake/my_botConfig-version.cmake
[0.044s] -- Up-to-date symlink: /home/sriram/dev_ws/install/my_bot/share/my_bot/package.xml
[0.046s] Invoked command in '/home/sriram/dev_ws/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/sriram/dev_ws/build/my_bot
